id,title,date_string,language,genre,duration,rating,rating_count,cast1,cast2,cast3,director,budget,box_office,spoken_languages
195583,Launching a Stranded Schooner from the Docks,1900-09-21,en,,1,3.6,5,,,,Albert E. Smith,0,0,
755957,Panorama of East Galveston,1900-09-16,en,99,2,0.0,0,,,,Albert E. Smith,0,0,
195641,The Clown and the Alchemist,1900-11-21,en,35,2,3.944,9,,,,Albert E. Smith,0,0,No Language
195631,Hooligan Assists the Magician,1900-11-01,en,"14,35",2,4.3,7,J. Stuart Blackton,,,J. Stuart Blackton,0,0,No Language
195553,"Panorama of Orphans' Home, Galveston",1900-09-21,en,,1,4.0,5,,,,Albert E. Smith,0,0,
144432,The Enchanted Drawing,1900-11-16,en,"16,35,14",2,6.368,76,J. Stuart Blackton,,,J. Stuart Blackton,0,0,No Language
195638,The Congress of Nations,1900-11-21,en,35,2,3.5,8,Albert E. Smith,,,Albert E. Smith,0,0,No Language
105303,Explosion of a Motor Car,1900-07-01,xx,35,2,6.1,55,Cecil M. Hepworth,Henry Lawley,,Cecil M. Hepworth,0,0,No Language
811141,Clown and Police,1900-01-01,en,,2,4.0,1,,,,Cecil M. Hepworth,0,0,
348302,The House That Jack Built,1900-09-10,en,35,1,4.7,12,Dorothy Smith,Harold Smith,,George Albert Smith,0,0,No Language
281924,The Burning Stable,1900-01-02,en,18,2,6.3,3,,,,Cecil M. Hepworth,0,0,No Language
630584,Panorama of the Paris Exhibition No. 3,1900-12-31,xx,99,1,6.0,1,,,,Cecil M. Hepworth,0,0,No Language
667876,The Dull Razor,1900-01-04,en,35,1,5.333,3,Tom Green,,,George Albert Smith,0,0,No Language
1441171,Oxford and Cambridge Boat Race,1900-03-26,xx,99,1,0.0,0,,,,Cecil M. Hepworth,0,0,No Language
143802,The Old Maid's Valentine,1900-09-30,xx,"35,10749",1,3.8,13,Eva Bayley,Laura Bayley,,George Albert Smith,0,0,No Language
614122,Queen Victoria's Visit to Dublin,1900-01-01,en,99,2,10.0,1,,,,,0,0,
195569,Panorama of Wreckage of Water Front,1900-09-21,en,99,1,4.0,4,,,,Albert E. Smith,0,0,No Language
195542,"Bird's-Eye View of Dock Front, Galveston",1900-09-21,en,99,1,4.0,2,,,,Albert E. Smith,0,0,No Language
195585,How They Rob Men in Chicago,1900-05-21,en,"80,35",1,4.5,6,,,,Wallace McCutcheon Sr.,0,0,No Language
693323,The Bathers,1900-11-01,en,,2,7.0,1,Cecil M. Hepworth,,,Cecil M. Hepworth,0,0,
195570,"Panoramic View of Tremont Hotel, Galveston",1900-09-21,en,99,1,4.8,4,,,,Albert E. Smith,0,0,No Language
154171,As Seen Through a Telescope,1900-09-01,en,35,1,5.5,44,,,,George Albert Smith,0,0,No Language
179235,Let Me Dream Again,1900-08-01,en,"10749,35",1,5.6,54,Laura Bayley,Tom Green,,George Albert Smith,0,0,No Language
213067,Danse Serpentine (In a Lion's Cage),1900-08-08,fr,99,2,5.4,19,Auguste Laurent,Bob Walter,,Alice Guy-Blaché,0,0,No Language
1439620,The Coup of Pere Francois,1900-01-01,fr,,1,0.0,0,,,,Georges Méliès,0,0,
1137292,Grandma Threading Her Needle,1900-06-07,en,,1,0.0,0,Eve Bayley,,,George Albert Smith,0,0,
195595,Danse du papillon,1900-01-01,fr,99,1,5.308,13,,,,Alice Guy-Blaché,0,0,No Language
119966,Avenue de l'Opéra,1900-01-01,fr,99,2,5.474,19,,,,Alice Guy-Blaché,0,0,No Language
119975,Pierrette's Escapades,1900-01-01,fr,10749,2,5.167,27,Julia Petit,Melle de Fretières,,Alice Guy-Blaché,0,0,No Language
195568,Danse espagnole de la Feria Sevillanos,1900-05-21,fr,99,1,5.3,12,,,,Louis Lumière,0,0,No Language
119968,Automated Hat-Maker and Sausage-Grinder,1900-01-01,fr,35,1,5.789,19,Henri Vallouy,,,Alice Guy-Blaché,0,0,"French,No Language"
833814,"Maillane : la farandole, la valse",1900-02-05,fr,99,0,0.0,0,,,,Félix Mesguich,0,0,
1056513,La mort de Chocolat,1900-09-30,fr,35,1,4.0,1,George Foottit,Rafael Padilla,,,0,0,
119970,At the Photographer's,1900-01-01,fr,35,1,5.2,18,,,,Alice Guy-Blaché,0,0,No Language
1313506,Gavotte directoire,1900-01-01,fr,99,0,0.0,0,,,,Alice Guy-Blaché,0,0,No Language
195554,Panorama of Galveston Power House,1900-05-21,en,,1,4.0,4,,,,Albert E. Smith,0,0,
119973,The Landlady,1900-01-01,fr,35,1,4.8,17,,,,Alice Guy-Blaché,0,0,No Language
183596,A Railway Collision,1900-03-01,en,18,1,4.1,9,,,,Walter R. Booth,0,0,No Language
834946,"Promenade du dragon à Cholon, III",1900-01-17,fr,99,0,0.0,0,,,,Gabriel Veyre,0,0,
119971,"Dance of the Seasons: Winter, Snow Dance",1900-01-01,fr,10402,1,5.3,13,,,,Alice Guy-Blaché,0,0,No Language
1260162,Coucher d'une Parisienne,1900-01-01,fr,35,0,0.0,0,,,,Alice Guy-Blaché,0,0,
106814,The Doctor and the Monkey,1900-01-01,fr,35,1,5.4,26,,,,Georges Méliès,0,0,No Language
231106,"Montreux, Fêtes des Narcisses: Marquises dans leurs chaises à porteurs",1900-10-29,fr,99,1,5.0,3,,,,,0,0,No Language
152031,How It Feels to Be Run Over,1900-06-30,en,27,1,6.024,41,May Clark,Cecil M. Hepworth,,Cecil M. Hepworth,0,0,No Language
197275,Maillane : défilé des tambourinaires,1900-02-05,fr,99,1,5.0,4,Frédéric Mistral,,,Félix Mesguich,0,0,No Language
106812,Eight Girls in a Barrel,1900-01-01,fr,,1,5.3,21,,,,Georges Méliès,0,0,
106030,Joan of Arc,1900-08-06,fr,"18,36",11,6.889,63,Jeanne Calvière,Georges Méliès,Jehanne d'Alcy,Georges Méliès,0,0,No Language
119976,At the Floral Ball,1900-01-01,fr,10402,2,5.1,21,Miss Lally,Miss Julyett,,Alice Guy-Blaché,0,0,No Language
625773,Les miracles du Brahmine,1900-01-01,fr,,4,5.0,1,,,,Georges Méliès,0,0,
834942,"Promenade du dragon à Cholon, II",1900-01-17,fr,99,0,0.0,0,,,,Gabriel Veyre,0,0,
178994,Spanish Bullfight,1900-01-01,en,99,1,4.1,19,,,,Louis Lumière,0,0,No Language
193438,A Storm at Sea,1900-07-31,en,99,1,5.8,10,,,,James H. White,0,0,No Language
191587,Japanese Actors: Wig Exercise,1900-01-21,fr,99,1,4.9,7,,,,Constant Girel,0,0,No Language
1420127,Plucked From The Burning,1900-10-10,en,18,1,0.0,0,,,,Walter R. Booth,0,0,
834936,Revue des troupes,1900-01-16,fr,99,0,0.0,0,,,,Gabriel Veyre,0,0,
49280,The One-Man Band,1900-01-01,fr,"35,14,10402",2,6.7,111,Georges Méliès,,,Georges Méliès,0,0,No Language
321584,Nice : le char des berceuses et de la chanson,1900-02-21,xx,99,1,0.0,0,,,,Félix Mesguich,0,0,No Language
703850,"A Trip Through Paris, France in The 1890s",1900-03-02,xx,99,5,6.7,3,,,,Louis Lumière,0,0,
195607,Exploding a Whitehead Torpedo,1900-05-21,en,99,1,5.2,4,,,,James H. White,0,0,No Language
667873,Scandal Over the Teacups,1900-01-02,en,35,1,4.0,1,Eva Bayley,,,George Albert Smith,0,0,
1439617,The Flea,1900-01-01,fr,,1,0.0,0,,,,Georges Méliès,0,0,
1309545,Montreux Panorama,1900-06-24,en,99,0,0.0,0,,,,,0,0,
195623,A View Taken from a Mobile Platform II,1900-06-16,fr,,1,4.9,8,,,,,0,0,
1100727,Chinese Magic,1900-09-01,en,27,0,4.5,1,,,,Walter R. Booth,0,0,English
195528,"Overland Express Arriving at Helena, Mont.",1900-04-21,en,99,1,4.3,3,,,,,0,0,No Language
1413607,Shanghai Street Scene No. 2,1900-06-07,en,99,1,4.0,1,,,,James H. White,0,0,No Language
366958,A View Taken from a Mobile Platform I,1900-04-15,fr,99,1,4.556,9,,,,,0,0,No Language
119977,The Cabbage-Patch Fairy,1900-01-01,fr,14,1,5.1,27,Yvonne Serand,,,Alice Guy-Blaché,0,0,No Language
195653,Scene from the Elevator Ascending Eiffel Tower,1900-08-21,en,99,2,6.0,15,,,,James H. White,0,0,No Language
195632,"Panorama of the Paris Exposition, from the Seine",1900-08-21,en,99,6,6.2,4,,,,James H. White,0,0,No Language
1102111,The Troublesome Fly,1900-05-01,en,"27,35",0,3.75,2,,,,Arthur Marvin,0,0,
213063,Spiders on a Web,1900-08-08,en,99,1,4.0,4,,,,George Albert Smith,0,0,No Language
402971,L'homme aux cent trucs,1900-01-01,fr,,2,0.0,0,,,,Georges Méliès,0,0,
357030,The Deserter,1900-01-02,en,,3,1.333,3,,,,Robert W. Paul,0,0,
195620,Sherlock Holmes Baffled,1900-05-21,en,"80,14,9648",1,5.2,41,,,,Arthur Marvin,0,0,No Language
1439681,The Stick,1900-01-01,fr,,1,0.0,0,,,,Georges Méliès,0,0,
428699,Phono-Cinéma-Théâtre,1900-04-28,fr,99,79,1.0,1,Cléo de Mérode,Benoit Constant Coquelin,Sarah Bernhardt,Marguerite Vrignault,0,0,French
1401090,Hong Kong Wharf Scene,1900-12-12,en,99,1,4.0,1,,,,James H. White,0,0,
193430,Capture of Boer Battery by British,1900-01-01,en,"10752,99",1,3.429,7,,,,James H. White,0,0,No Language
195536,Breaking of the Crowd at Military Review at Longchamps,1900-05-21,en,,1,3.3,3,,,,James H. White,0,0,
192799,"Promenade du dragon à Cholon, I",1900-01-17,fr,99,1,5.0,7,,,,Gabriel Veyre,0,0,No Language
